KEYCODE_BACKTICK ` ~
KEYCODE_1 1 !
KEYCODE_2 2 @
KEYCODE_3 3 #
KEYCODE_4 4 $
KEYCODE_5 5 %
KEYCODE_6 6 ^
KEYCODE_7 7 &
KEYCODE_8 8 *
KEYCODE_9 9 (
KEYCODE_0 0 )
KEYCODE_MINUS - _ 
KEYCODE_EQUALS = +
KEYCODE_Q q Q
KEYCODE_W w W
KEYCODE_E e E
KEYCODE_R r R
KEYCODE_T t T
KEYCODE_Y y Y
KEYCODE_U u U
KEYCODE_I i I
KEYCODE_O o O
KEYCODE_P p P
KEYCODE_SQBROPEN [ {
KEYCODE_SQBRCLOSE ] }
KEYCODE_BACKSLASH \ |
KEYCODE_A a A 
KEYCODE_S s S 
KEYCODE_D d D 
KEYCODE_F f F 
KEYCODE_G g G 
KEYCODE_H h H 
KEYCODE_J j J 
KEYCODE_K k K 
KEYCODE_L l L 
KEYCODE_SEMICOLON ; :
KEYCODE_QUOTE ' "
KEYCODE_Z z Z 
KEYCODE_X x X 
KEYCODE_C c C 
KEYCODE_V v V 
KEYCODE_B b B
KEYCODE_N n N
KEYCODE_M m M
KEYCODE_COMMA , <
KEYCODE_PERIOD . >
KEYCODE_FWDSLASH / ?
